song_number,title,genre,author,public_domain_reason,pdf_file
12,Aviador,Pasillo,Fulgencio García,"García falleció en 1945; vida+80 ya vencido en 2026 (https://www.radionacional.co/cultura/fulgencio-garcia-140-anos-del-autor-de-la-gata-golosa)",jaime-llanos_12_aviador_pasillo_fulgencio-garcia.pdf
19,Carrizal,Pasillo,Emilio Murillo,"Murillo falleció en 1942 (https://repository.eafit.edu.co/handle/10784/22049)",jaime-llanos_19_carrizal_pasillo_emilio-murillo.pdf
22,Coqueteos,Pasillo,Fulgencio García,"García falleció en 1945 (https://www.radionacional.co/cultura/fulgencio-garcia-140-anos-del-autor-de-la-gata-golosa)",jaime-llanos_22_coqueteos_pasillo_fulgencio-garcia.pdf
25,Chispazo,Pasillo,P. Morales Pino,"Morales Pino falleció en 1926 (https://enciclopedia.banrepcultural.org/index.php?title=Pedro_Morales_Pino)",jaime-llanos_25_chispazo_pasillo_pedro-morales-pino.pdf
39,Entusiasmo,Pasillo,Luis A. Calvo,"Calvo falleció en 1945; vida+80 ya vencido en 2026 (https://enciclopedia.banrepcultural.org/index.php?title=Luis_A_Calvo)",jaime-llanos_39_entusiasmo_pasillo_luis-a-calvo.pdf
41,Estrella del Caribe,Danza,Luis A. Calvo,"Calvo falleció en 1945; vida+80 ya vencido en 2026 (https://enciclopedia.banrepcultural.org/index.php?title=Luis_A_Calvo)",jaime-llanos_41_estrella-del-caribe_danza_luis-a-calvo.pdf
49,Gato'e fique,Pasillo,Emilio Murillo,"Murillo falleció en 1942 (https://repository.eafit.edu.co/handle/10784/22049)",jaime-llanos_49_gatoe-fique_pasillo_emilio-murillo.pdf
64,La Chata,Pasillo,Luis A. Calvo,"Calvo falleció en 1945; vida+80 ya vencido en 2026 (https://enciclopedia.banrepcultural.org/index.php?title=Luis_A_Calvo)",jaime-llanos_64_la-chata_pasillo_luis-a-calvo.pdf
86,Rumichaca,Bambuco,Emilio Murillo,"Murillo falleció en 1942 (https://repository.eafit.edu.co/handle/10784/22049)",jaime-llanos_86_rumichaca_bambuco_emilio-murillo.pdf
92,Sobre el Humo,Bambuco,Fulgencio García,"García falleció en 1945 (https://www.radionacional.co/cultura/fulgencio-garcia-140-anos-del-autor-de-la-gata-golosa)",jaime-llanos_92_sobre-el-humo_bambuco_fulgencio-garcia.pdf
